Module_A,Module_B,Clash_Count
ARTX10036,ARTX10037,78
ARTX10036,ARTX10069,78
ARTX10036,ARTX10038,78
ELEE09034,ELEE09035,78
BUST10158,BUST10163,78
CIVE08026,ELEE08016,78
ARTX10038,ARTX10069,78
EFIE11023,EFIE11025,78
EDUA11187,EDUA11385,78
PHYS08026,PHYS08049,78
ELEE09032,ELEE09035,78
ARTX10037,ARTX10069,78
ELEE09023,SCEE09002,77
MECE10002,MECE10012,77
ELEE08016,SCEE08003,77
EFIE11025,EFIE11027,77
PHYS09055,PHYS09057,77
ELEE09027,ELEE09035,77
ELEE09023,ELEE09035,77
BUST08008,BUST08009,77
PHYS10096,PHYS11024,77
PHYS09056,PHYS09057,77
MECE10002,SCEE11014,76
CHEE08012,SCEE08010,76
ELEE09026,ELEE09032,76
CHEE08012,SCEE08014,76
CHEE08012,SCEE08015,76
PHYS08026,PHYS08058,76
ELEE09027,SCEE09002,76
EDUA11248,EDUA11282,76
BILG09001,BILG09002,76
PHYS09053,PHYS09057,76
LASC08022,LASC08023,76
PHYS10100,PHYS11011,76
MATH10013,MATH10065,76
CHEE08012,SCEE08009,76
CHEE08016,SCEE08009,76
ELEE09023,ELEE09032,75
EDUA11212,EDUA11248,75
CHEE08012,SCEE08003,75
CHEE08016,SCEE08010,75
EASC08032,EASC08033,75
EDUA11363,EDUA11385,75
CHEE08016,SCEE08015,75
BILG08011,BILG08026,75
CHEE08016,SCEE08016,75
ELEE09016,ELEE09034,75
CHEE08016,SCEE08014,75
CHEE08016,SCEE08003,75
ACCN10026,BUST10157,75
GEGR09012,GEGR09020,74
BILG08011,BILG08024,74
ACCN08009,ACCN08010,74
ELEE09027,ELEE09032,74
PHYS09061,PHYS09063,74
PHYS09061,PHYS10090,74
ELEE09034,SCEE09002,74
ELEE09026,ELEE09034,74
CHEE08012,SCEE08016,74
ELEE09016,ELEE09027,74
BIME09008,BIME09012,74
ELEE09032,ELEE09034,74
GEGR09012,GEGR10133,74
MECE10004,MECE10012,73
MECE10004,SCEE11014,73
PHYS09056,PHYS09063,73
BILG08011,BIME08012,73
PHYS09053,PHYS09063,73
ELEE09023,ELEE09026,73
BUST08005,ECNM08006,73
MECE10012,SCEE11014,73
ELEE09023,ELEE09027,73
INFR11132,INFR11136,72
CHEE08019,SCEE08016,72
EDUA11415,REDU11092,72
ELEE09026,ELEE09027,72
ELEE09016,ELEE09023,72
LASC08017,LASC08018,72
CHEE08013,SCEE08003,72
CHEE08013,SCEE08014,72
CHEM08030,CHEM08031,72
PHYS09055,PHYS09063,72
CHEE08017,SCEE08014,72
CHEE08017,SCEE08009,72
CHEE08017,SCEE08003,72
EDUA11413,EDUA11415,72
BIME08004,CHEM08022,72
CHEE08013,CHEE08017,72
CHEM08019,CHEM08030,72
EDUA11413,REDU11092,72
ELEE09016,ELEE09029,72
PHYS09060,PHYS09063,72
BUST08003,ECNM08006,72
CHEM08016,CHEM08017,72
CHEE08013,SCEE08009,72
BILG09002,BILG09014,71
MATH10068,MATH10095,71
EDUA11415,EDUA11440,71
PHYS10042,PHYS11024,71
EDUA11440,REDU11092,71
ELEE08016,MECE08014,71
EDUA11413,EDUA11440,71
ELEE09027,ELEE09034,71
CHEE08013,SCEE08010,71
ELEE09023,ELEE09034,71
CHEE08012,CHEE08019,71
BUST09007,CMSE10002,71
ARTX10051,ARTX10058,70
PHYS11011,PHYS11024,70
HIAR08025,HIAR08026,70
PHYS09060,PHYS10090,70
ELEE09029,ELEE09032,70
ELEE09029,ELEE09034,70
BUST08005,ECNM08016,70
BUST08005,BUST08056,70
LASC08018,LASC08020,70
PHYS09056,PHYS10090,70
PHYS09055,PHYS10090,70
ELEE09027,ELEE09029,70
ELEE09023,ELEE09029,70
CHEE08013,SCEE08015,70
CHEE08016,CHEE08019,70
CHEE08016,CHEE08017,70
CHEE08012,CHEE08017,70
CHEE08012,CHEE08016,70
CHEE08012,CHEE08013,70
CHEE08013,CHEE08016,70
CHEE08017,SCEE08015,70
CHEE08017,SCEE08010,70
CHEE08019,SCEE08003,70
ENLI10368,ENLI10423,70
ENLI10368,ENLI10424,70
CHEE08019,SCEE08015,70
CHEE08019,SCEE08014,70
CHEE08019,SCEE08010,70
CHEE08019,SCEE08009,70
CHEE08017,SCEE08016,70
EDUA10172,EDUA10208,70
CHEE08017,CHEE08019,70
ARHI08004,ARHI08009,70
EDUA11440,REDU11046,70
EDUA11440,REDU11045,70
EDUA11415,REDU11046,70
EDUA11415,REDU11045,70
EDUA11413,REDU11046,70
EDUA11413,REDU11045,70
REDU11045,REDU11092,70
REDU11046,REDU11092,70
ELEE08016,MECE08013,70
CHEE08013,SCEE08016,70
CHEE08013,CHEE08019,70
EDUA10177,EDUA10208,69
LASC08019,LASC08020,69
BUST10158,BUST10162,69
GEGR08007,GEGR08010,69
ECNM10030,ECNM10087,69
SCAN10030,SCAN10036,69
ELEE10017,ELEE11110,69
BILG08015,BIME08004,69
EDUA11283,REDU11045,69
BUST08003,ECNM08016,69
PHYS10043,PHYS11024,69
EDUA11282,REDU11084,69
PHYS10043,PHYS10099,69
EDUA11257,EDUA11282,69
EDUA11283,REDU11046,69
EDUA11282,EDUA11329,69
PHYS10042,PHYS10043,68
NEBM10005,NEBM10028,68
PSYL10004,PSYL10140,68
INFR09032,INFR10078,68
BUST09007,BUST10142,68
SCIL10063,SCIL10091,68
ARTX10048,ARTX10058,68
BILG09002,BILG09013,68
PHYS10043,PHYS10096,68
BUST08004,BUST08056,68
PSYL08010,PSYL08013,68
ELEE10011,ELEE10017,68
PSYL08009,PSYL08013,68
ACCN08012,BUST08036,68
CIVE08020,CIVE08024,67
BILG08015,CHEM08022,67
MATH07003,MATH08057,67
MATH08072,MATH08073,67
SCEE08008,SCEE08016,67
INFR09051,INFR10065,67
CIVE08024,CIVE08026,67
SCIL10018,SCIL10063,67
PHYS10087,PHYS10099,67
ACCN10026,BUST10158,66
MATH07003,MATH08058,66
BIME08004,CHEM08023,66
CMSE10002,CMSE10003,66
CIVE11053,MAEE10003,65
INFR10065,INFR10067,65
EDUA11212,EDUA11257,65
BUST08030,ECNM08006,65
PHYS10087,PHYS11011,65
BUST08030,ECNM08016,65
EDUA11257,EDUA11347,65
EDUA11329,EDUA11347,65
BUST08018,BUST08050,65
EDUA11347,REDU11084,65
ACCN08012,BUST08035,65
ACCN08007,BUST08035,65
BUST08004,BUST08033,65
MATH10053,MATH10065,65
INFR09051,INFR10085,65
MATH10065,MATH11205,65
BILG08015,CHEM08023,65
ARTX09073,ARTX10051,64
ARTX09073,ARTX10048,64
MATH10066,MATH10093,64
EDUA11212,REDU11084,64
EDUA11212,EDUA11329,64
MATH10065,MATH11183,64
PLIT08008,PLIT08020,64
CHEM08017,MATH08072,64
BUST08018,BUST08049,64
BIME08014,CHEM08031,64
BIME08014,CHEM08019,64
ARTX10048,ARTX10051,64
BIME08013,CHEM08022,63
PHIL08015,PHIL08019,63
PHIL08004,PHIL08019,63
MATH10065,MATH10086,63
BIME08004,BIME08013,63
BIME08014,CHEM08030,63
CHEM08016,MATH08073,63
ARTX09073,ARTX10058,63
ELEE10007,ELEE10017,63
CHEM08017,MATH08073,63
CHEM08016,MATH08072,63
BIME09003,BIME09011,62
SCIL10062,SCIL10063,62
BILG08015,BIME08013,62
BIME08013,CHEM08023,62
BUST10004,BUST10142,62
BILG09013,BILG09014,62
PSYL10004,PSYL10184,62
CIVE08025,SCEE08016,61
PHYS10043,PHYS11011,61
CIVE08025,SCEE08010,61
PSYL10090,PSYL10140,61
MECE11007,SCEE11014,61
BUST10158,BUST10159,60
CIVE08025,SCEE08009,60
CIVE08025,CIVE08026,60
CIVE08025,SCEE08003,60
CIVE08020,CIVE08025,60
MATH10069,MATH10095,60
PHYS10042,PHYS10111,60
EDUA11255,REDU11045,60
EDUA11255,REDU11046,60
PSYL10153,PSYL10168,60
PHIL08015,PHIL08020,60
PSYL10004,PSYL10141,60
PHYS09053,PHYS10090,60
PSYL10153,PSYL10174,60
CIVE08025,SCEE08014,60
MATH10067,MATH10093,60
MATH10003,MATH10066,59
ACCN08009,BUST08030,59
HIST08040,HIST08043,59
ANHI08015,HIST08044,59
ACCN08007,ACCN08008,59
LASC08018,LASC08019,59
ACCN08009,BUST08049,59
ACCN08009,BUST08050,59
MATH10003,MATH10095,59
ANHI08013,ANHI08014,59
HIST08032,PLIT08011,59
ELEE10017,ELEE11112,59
BILG08011,BIME08011,59
ELEE10029,ELEE10032,59
ELEE08015,MECE08009,58
PHYS10096,PHYS10111,58
ENLI10373,ENLI10424,58
ENLI10373,ENLI10423,58
CLPS10001,CLPS11054,58
PHYS10096,PHYS10112,58
MATH10065,MATH11226,58
PHYS10042,PHYS10112,58
ELEE08022,MECE08009,58
ACCN08010,BUST08049,58
ACCN08010,BUST08030,58
ACCN08010,BUST08050,58
CLPS11053,CLPS11054,58
EDUA10160,EDUA10215,57
EDUA10160,EDUA11442,57
EDUA10160,EDUA11441,57
EDUA10161,EDUA10215,57
EDUA10161,EDUA11441,57
EDUA10215,EDUA11442,57
EDUA10215,EDUA11441,57
EDUA10160,EDUA10161,57
EDUA10161,EDUA11442,57
EDUA10161,EDUA11449,57
EDUA10215,EDUA11449,57
EDUA11442,EDUA11449,57
ACCN08007,BUST08036,57
EDUA11441,EDUA11449,57
EDUA10160,EDUA11449,57
CIVE08026,ELEE08022,57
EDUA11441,EDUA11442,57
CIVE08026,ELEE08015,57
