Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus,Day,Start_Time,Time_Blocks,Session_ID
Moray House School of Education and Sport,EDUA11363,E:GUTB4ZJ4VA,Lecture,110,200.0,Monday 10:00,10,14,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,10:00,2,E:GUTB4ZJ4VA_W14
Moray House School of Education and Sport,EDUA08045,E:61LY4VACOD_Part1,Other,410,200.0,Tuesday 13:00,1,36,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,3,E:61LY4VACOD_W36_Part1
Moray House School of Education and Sport,EDUA08104,E:FVCKMHBOS5_Part2,Other,240,200.0,Monday 09:00,1,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,1,E:FVCKMHBOS5_W19_Part2
Moray House School of Education and Sport,EDUA11363,E:GUTB4ZJ4VA,Lecture,110,200.0,Monday 10:00,10,18,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,10:00,2,E:GUTB4ZJ4VA_W18
Moray House School of Education and Sport,EDUA11363,E:GUTB4ZJ4VA,Lecture,110,200.0,Monday 10:00,10,17,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,10:00,2,E:GUTB4ZJ4VA_W17
Moray House School of Education and Sport,EDUA11289,E:89KZDKRDHK-00001,Lecture,180,200.0,Thursday 09:00,5,35,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Thursday,09:00,3,E:89KZDKRDHK-00001_W35
Moray House School of Education and Sport,EDUA11187,E:YIR1TE6ZU2,Lecture,50,200.0,Monday 09:00,10,16,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,1,E:YIR1TE6ZU2_W16
Moray House School of Education and Sport,EDUA11187,E:YIR1TE6ZU2,Lecture,50,200.0,Monday 09:00,10,12,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,09:00,1,E:YIR1TE6ZU2_W12
School of Health in Social Science,CLPS11052,E:KQZQ5NAAWV,Lecture,90,180.0,Tuesday 10:00,6,37,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,10:00,2,E:KQZQ5NAAWV_W37
Moray House School of Education and Sport,REDU11083,E:C99SMN1JBC,Lecture,50,180.0,Tuesday 13:00,3,19,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,1,E:C99SMN1JBC_W19
