,Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus
26861,"School of Literatures, Languages and Cultures",ENLI08023_SV1_SEM2_2024/5,E:FYC33XNEA3,Tutorial,50,15.0,Tuesday 10:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_03_3.14,Centrally Allocated Space,General Teaching,50 George Square,Central
26862,"School of Literatures, Languages and Cultures",ELCG08001_SV1_YR_2024/5,E:TM1MWREQEJ,Grammar 1 Tutorial,50,25.0,Monday 10:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0201_02_2.11,Centrally Allocated Space,General Teaching,Appleton Tower,Central
26863,"School of Literatures, Languages and Cultures",ENLI10368_SV1_SEM1_2024/5,E:KR8I9TLDQQ,Seminar,110,15.0,Monday 11:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0227_03_3.03,Centrally Allocated Space,General Teaching,50 George Square,Central
26865,"School of Literatures, Languages and Cultures",ELCI08001_SV1_YR_2024/5,E:H88EDVE3VN-00001,Language Tutorial Set 1,50,15.0,Tuesday 14:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0335_02_2.18,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
26866,"School of Literatures, Languages and Cultures",ELCH08018_SV1_YR_2024/5,E:KTFE8PUAH4,Literature Tutorial,50,14.0,Thursday 11:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_02_2.39,Centrally Allocated Space,General Teaching,50 George Square,Central
26867,"School of Literatures, Languages and Cultures",ELCR08009_SV1_YR_2024/5,E:3L81SIF721,Grammar Tutorial,50,15.0,Monday 10:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_03_3.14,Centrally Allocated Space,General Teaching,50 George Square,Central
26868,"School of Literatures, Languages and Cultures",ENLI10410_SS1_SEM2_2024/5,E:8SAJGC95OT,Seminar,110,15.0,Monday 11:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_02_2.39,Centrally Allocated Space,General Teaching,50 George Square,Central
26869,"School of Literatures, Languages and Cultures","CELT08004_SV1_YR_2024/5, CELT08021_SV1_SEM2_2024/5, CELT08018_VV1_SEM2_2024/5",E:MICALK5ZCQ,Seminar,50,19.0,Monday 12:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0228_-1_LG.06,Centrally Allocated Space,General Teaching,40 George Square Lower Teaching Hub,Central
26870,"School of Literatures, Languages and Cultures",ELCF08006_SV1_YR_2024/5,E:OTRQPCA6D4,Language Tutorial (S2),50,15.0,Tuesday 17:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0228_11_11.11,Centrally Allocated Space,General Teaching,40 George Square,Central
26872,"School of Literatures, Languages and Cultures",ENLI08022_SV1_SEM1_2024/5,E:PEYNMDWCVR,Tutorial,50,15.0,Tuesday 15:00,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0227_00_G.05,Centrally Allocated Space,General Teaching,50 George Square,Central
26873,"School of Literatures, Languages and Cultures",CLLC11162_SS1_SEM2_2024/5,E:V1NPTZ98GJ,Tutorial,50,5.0,Monday 13:00,10,"27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0214_01_1.01,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26874,"School of Literatures, Languages and Cultures",ELCF08013_SV1_YR_2024/5,E:HH629NUY8L,Written Language Tutorial (S2),50,15.0,Wednesday 13:00,2,"26, 27",0113_00_G.10,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
26875,"School of Literatures, Languages and Cultures",ELCI08004_SV1_YR_2024/5,E:W9WS2WYCNX,Seminar,50,15.0,Thursday 10:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0254_01_1.03,Centrally Allocated Space,General Teaching,24 Buccleuch Place,Central
26876,"School of Literatures, Languages and Cultures",CLLC11195_SS1_SEM1_2024/5,E:ZOG6XW5U9Y,Seminar,120,20.0,Thursday 10:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0003_01_1.02,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
26877,"School of Literatures, Languages and Cultures",ELCC10013_SS1_YR_2024/5,E:HTQG1JTNAF,Tutorial,50,12.0,Wednesday 13:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0214_00_G.26,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26878,"School of Literatures, Languages and Cultures",SCET08006_SV1_SEM1_2024/5,E:44H3VLNQDQ,Tutorial,50,14.0,Thursday 17:00,4,"11, 13, 15, 17",0228_11_11.11,Centrally Allocated Space,General Teaching,40 George Square,Central
26880,"School of Literatures, Languages and Cultures","ENLI10273_SS1_SEM1_2024/5, ENLI11077_SS1_SEM1_2024/5",E:58TOLBPDDI,Jointly Taught Seminar,110,15.0,Thursday 15:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0227_02_2.29,Centrally Allocated Space,General Teaching,50 George Square,Central
26881,"School of Literatures, Languages and Cultures",CELT08022_SV1_SEM1_2024/5,E:63KCY3TV5A,Lecture,50,40.0,Tuesday 14:00,2,"15, 16",0112_-1_B.02,Centrally Allocated Space,General Teaching,Chrystal MacMillan Building,Central
26882,"School of Literatures, Languages and Cultures",ELCF08006_SV1_YR_2024/5,E:AAKGL49HUP,Oral Tutorial,50,12.0,Friday 16:00,9,"10, 11, 12, 13, 15, 16, 17, 18, 19",0227_02_2.03,Centrally Allocated Space,General Teaching,50 George Square,Central
26883,"School of Literatures, Languages and Cultures",ELCI08004_SV1_YR_2024/5,E:L3ZH19V4S4,Workshop,50,10.0,Wednesday 16:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_02_2.14,Centrally Allocated Space,General Teaching,50 George Square,Central
26884,"School of Literatures, Languages and Cultures","ELCS08033_SV1_YR_2024/5, ELCS08031_VV1_SEM1_2024/5",E:MJKFCBG5G8,Jointly Taught Seminar,50,15.0,Monday 13:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0228_01_1.01,Centrally Allocated Space,General Teaching,40 George Square,Central
26886,"School of Literatures, Languages and Cultures","IMES10105_SV1_SEM2_2024/5, IMES11098_SV1_SEM2_2024/5",E:Y8SNEUOM6W,Jointly Taught Seminar,110,10.0,Friday 16:00,2,"29, 33",0228_07_7.18,Centrally Allocated Space,General Teaching,40 George Square,Central
26887,"School of Literatures, Languages and Cultures",ASST08001_SV1_YR_2024/5,E:M2L9YBXJ6T,NPCR 2 Tutorial,50,35.0,Wednesday 12:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_00_G.02,Centrally Allocated Space,General Teaching,50 George Square,Central
26888,"School of Literatures, Languages and Cultures",ELCI08001_SV1_YR_2024/5,E:ANB1XHFETI-00001,Language Tutorial Set 1,50,7.0,Tuesday 15:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0214_00_G.23,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26889,"School of Literatures, Languages and Cultures",CELT08019_SV1_SEM2_2024/5,E:YSIBS85V1V,Tutorial,50,9.0,Friday 13:00,4,"28, 30, 34, 36",0227_03_3.29,Centrally Allocated Space,General Teaching,50 George Square,Central
26891,"School of Literatures, Languages and Cultures",ELCH10058_SV1_YR_2024/5,E:ZBZYIZ5U2L-00003,Tutorial,50,10.0,Wednesday 09:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0228_11_11.18,Centrally Allocated Space,General Teaching,40 George Square,Central
26892,"School of Literatures, Languages and Cultures",ELCF08012_SV1_YR_2024/5,E:8TNV69HBQ4,Tutorial,50,20.0,Wednesday 17:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0214_00_G.22,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26893,"School of Literatures, Languages and Cultures",ELCF08006_SV1_YR_2024/5,E:38O7NK75IE,Literature Tutorial,50,20.0,Friday 15:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0103_01_1.B10,Centrally Allocated Space,General Teaching,Forresthill,Central
26894,"School of Literatures, Languages and Cultures",ASST08057_SV1_SEM1_2024/5,E:VSG9LI31KN,Translation Tutorial,50,18.0,Wednesday 09:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0201_02_2.07,Centrally Allocated Space,General Teaching,Appleton Tower,Central
26895,"School of Literatures, Languages and Cultures",ELCG08008_SV1_YR_2024/5,E:M16R8HBL2B,Seminar (S2),50,14.0,Monday 12:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_03_3.14,Centrally Allocated Space,General Teaching,50 George Square,Central
26896,"School of Literatures, Languages and Cultures",ELCF07008_SV1_SEM2_2024/5,E:JDKCUX2IEX,Language Tutorial,110,30.0,Friday 09:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_00_G.05,Centrally Allocated Space,General Teaching,50 George Square,Central
26897,"School of Literatures, Languages and Cultures",CELT08024_SV1_SEM2_2024/5,E:R41I93CRKG,Tutorial,50,13.0,Friday 10:00,5,"27, 29, 32, 34, 36",0214_01_1.10,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26898,"School of Literatures, Languages and Cultures",ASST08043_SV1_SEM2_2024/5,E:ZTTZT8RQS8,Tutorial,50,16.0,Wednesday 15:00,10,"27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_03_3.03,Centrally Allocated Space,General Teaching,50 George Square,Central
26899,"School of Literatures, Languages and Cultures",ENLI11027_SS1_SEM2_2024/5,E:3SA8MTD9E3,Seminar,110,18.0,Friday 10:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0228_11_11.18,Centrally Allocated Space,General Teaching,40 George Square,Central
26900,"School of Literatures, Languages and Cultures",ELCF08006_SV1_YR_2024/5,E:V3R2FLX9MT,Language Tutorial (S2),50,15.0,Tuesday 16:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_03_3.29,Centrally Allocated Space,General Teaching,50 George Square,Central
26901,"School of Literatures, Languages and Cultures","ELCG10031_SS1_SEM1_2024/5, ELCG09010_SV1_SEM1_2024/5",E:3RK73ILUXU,Jointly Taught Seminar,110,18.0,Wednesday 09:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0335_01_1.2,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
26902,"School of Literatures, Languages and Cultures","ELCC10015_SS1_YR_2024/5, ELCH09016_SV1_YR_2024/5",E:9V6WJZXBDD,Jointly Taught Oral Tutorial,50,11.0,Thursday 15:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0228_07_7.18,Centrally Allocated Space,General Teaching,40 George Square,Central
26903,"School of Literatures, Languages and Cultures","ASST07018_SV1_SEM2_2024/5, ASST11119_SV1_SEM2_2024/5",E:K9AM2L4K63,Tutorial,110,30.0,Wednesday 11:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0335_01_1.9,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
26904,"School of Literatures, Languages and Cultures",ELCG08001_SV1_YR_2024/5,E:S38AFTJG55,Grammar 2 Tutorial,50,25.0,Tuesday 10:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_00_G.06,Centrally Allocated Space,General Teaching,50 George Square,Central
26905,"School of Literatures, Languages and Cultures",ELCR08008_SV1_YR_2024/5,E:J4C5C1HTWV,Tutorial,50,20.0,Monday 09:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0214_00_G.22,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26906,"School of Literatures, Languages and Cultures",ELCF08006_SV1_YR_2024/5,E:2NY6GUECY9,Oral Tutorial,50,12.0,Friday 16:00,9,"10, 11, 12, 13, 15, 16, 17, 18, 19",0254_01_1.06,Centrally Allocated Space,General Teaching,24 Buccleuch Place,Central
26907,"School of Literatures, Languages and Cultures",ELCI08005_SV1_YR_2024/5,E:LRILYBM3ZW,Seminar,50,50.0,Thursday 12:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0201_02_2.12,Centrally Allocated Space,General Teaching,Appleton Tower,Central
26908,"School of Literatures, Languages and Cultures",IMES10081_SS1_YR_2024/5,E:WL8LAP5TGN,Seminar,50,10.0,Tuesday 13:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0214_00_G.02,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26909,"School of Literatures, Languages and Cultures",ENLI08020_SV1_SEM1_2024/5,E:QAIABUNN11,Tutorial,50,15.0,Thursday 09:00,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0228_11_11.11,Centrally Allocated Space,General Teaching,40 George Square,Central
26910,"School of Literatures, Languages and Cultures",ELCS08037_SV1_SEM1_2024/5,E:9OI411GJWN,Tutorial,50,12.0,Thursday 11:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0214_00_G.26,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26911,"School of Literatures, Languages and Cultures","ELCF09032_SV1_YR_2024/5, ELCF10002_SV1_YR_2024/5",E:1LPNUD218I,Tutorial,50,15.0,Thursday 17:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0228_07_7.18,Centrally Allocated Space,General Teaching,40 George Square,Central
26912,"School of Literatures, Languages and Cultures",ELCR08005_SV1_YR_2024/5,E:JU7RJ2M3QH,Oral Tutorial,50,12.0,Thursday 12:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_02_2.39,Centrally Allocated Space,General Teaching,50 George Square,Central
26913,"School of Literatures, Languages and Cultures",ELCF08006_SV1_YR_2024/5,E:XFF1B3CNH2,Literature Tutorial,50,20.0,Friday 10:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0113_00_G.203,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
26914,"School of Literatures, Languages and Cultures",ELCI08001_SV1_YR_2024/5,E:7OHZO21C8Q-00001,Oral Tutorial,50,10.0,Wednesday 10:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_02_2.13,Centrally Allocated Space,General Teaching,50 George Square,Central
26916,"School of Literatures, Languages and Cultures",ELCG08008_SV1_YR_2024/5,E:5D5ZAJ1P3A,Oral Tutorial,50,12.0,Monday 14:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_00_G.04,Centrally Allocated Space,General Teaching,50 George Square,Central
26917,"School of Literatures, Languages and Cultures",ASST10094_SV1_YR_2024/5,E:JL4ZOS4DW9-00001,Reading Tutorial (S2),50,24.0,Thursday 14:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0214_00_G.02,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26918,"School of Literatures, Languages and Cultures",ASST08055_SV1_SEM1_2024/5,E:YIQLL7POFC,Film Screening,110,75.0,Friday 14:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0210_00_G.04,Centrally Allocated Space,General Teaching,Robson Building,Central
26919,"School of Literatures, Languages and Cultures",IMES10024_SS1_YR_2024/5,E:12WTPWQ9ZT,Oral Tutorial,50,7.0,Tuesday 13:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0228_07_7.18,Centrally Allocated Space,General Teaching,40 George Square,Central
26920,"School of Literatures, Languages and Cultures",ELCH07010_SV1_SEM2_2024/5,E:R9N7MHGQOA,Language Tutorial,110,25.0,Monday 11:00,10,"27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0112_-1_B.06,Centrally Allocated Space,General Teaching,Chrystal MacMillan Building,Central
26921,"School of Literatures, Languages and Cultures",ELCG08002_SV1_YR_2024/5,E:Z9CDD7I6EU,Literature Tutorial,50,18.0,Thursday 10:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0003_01_1.04,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
26922,"School of Literatures, Languages and Cultures",ELCF08012_SV1_YR_2024/5,E:C873F1EJLL,Tutorial,50,20.0,Thursday 10:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0201_02_2.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
26923,"School of Literatures, Languages and Cultures",ELCI08004_SV1_YR_2024/5,E:UCH1BBLS1G-00001,Grammar Tutorial (S2),50,25.0,Monday 11:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0335_01_1.9,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
26924,"School of Literatures, Languages and Cultures","ELCS08027_SV1_YR_2024/5, ELCS08032_VV1_SEM1_2024/5",E:PSOW47JJ5T-00001,Jointly Taught Seminar,50,20.0,Thursday 17:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0228_11_11.18,Centrally Allocated Space,General Teaching,40 George Square,Central
26926,"School of Literatures, Languages and Cultures",ELCR08009_SV1_YR_2024/5,E:V86BUDIX2Y,Tutorial,50,15.0,Friday 13:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_00_G.05,Centrally Allocated Space,General Teaching,50 George Square,Central
26928,"School of Literatures, Languages and Cultures",ENLI08024_SV1_SEM1_2024/5,E:Q9B4ISH12N,Tutorial,50,15.0,Thursday 13:00,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0228_01_1.01,Centrally Allocated Space,General Teaching,40 George Square,Central
26929,"School of Literatures, Languages and Cultures",ASST08076_SV1_YR_2024/5,E:C4F8MXEP6F,Listening Tutorial,50,20.0,Monday 11:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0214_00_G.22,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26930,"School of Literatures, Languages and Cultures",ENLI10424_SS1_SEM2_2024/5,E:ZFSCS9L7Z9,Workshop,110,20.0,Wednesday 09:00,3,"29, 33, 36",0201_02_2.04,Centrally Allocated Space,General Teaching,Appleton Tower,Central
26931,"School of Literatures, Languages and Cultures","IMES08006_SV1_YR_2024/5, IMES11106_SV1_SEM2_2024/5, IMES08039_VV1_SEM2_2024/5",E:EL8F8I2TX9,Oral Tutorial,50,10.0,Thursday 12:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_03_3.03,Centrally Allocated Space,General Teaching,50 George Square,Central
26932,"School of Literatures, Languages and Cultures",ELCR08005_SV1_YR_2024/5,E:3O9J7OOZU7,Grammar Tutorial,50,18.0,Tuesday 15:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0003_00_G.03,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
26933,"School of Literatures, Languages and Cultures",ASST08076_SV1_YR_2024/5,E:MAQMMT2C6F,Oral Tutorial (S2),50,10.0,Wednesday 10:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0214_00_G.23,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26934,"School of Literatures, Languages and Cultures",ELCF08006_SV1_YR_2024/5,E:O9UUI327X3,Oral Tutorial,50,12.0,Wednesday 11:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0450_01_1.62,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
26935,"School of Literatures, Languages and Cultures",ELCG08002_SV1_YR_2024/5,E:XWQI4UIVZQ,Oral Tutorial,50,12.0,Wednesday 09:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_02_2.29,Centrally Allocated Space,General Teaching,50 George Square,Central
26936,"School of Literatures, Languages and Cultures",ENLI08025_SV1_SEM2_2024/5,E:5HEN99FELB,Tutorial,50,15.0,Thursday 15:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0008_-1_B.154,Centrally Allocated Space,General Teaching,Minto House,Central
26937,"School of Literatures, Languages and Cultures",ASST10133_SS1_YR_2024/5,E:X3UDXHQUIV,Tutorial,50,15.0,Thursday 16:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0214_00_G.22,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26938,"School of Literatures, Languages and Cultures","CELT08005_SV1_YR_2024/5, CELT08006_SV1_YR_2024/5, CELT08007_SV1_YR_2024/5",E:STOHJVMAX6,Tutorial,50,15.0,Wednesday 12:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0227_03_3.54,Centrally Allocated Space,General Teaching,50 George Square,Central
26939,"School of Literatures, Languages and Cultures",ELCH08002_SV1_YR_2024/5,E:UONNAWT7JO,Literature Tutorial (S2),50,18.0,Friday 09:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_00_G.02,Centrally Allocated Space,General Teaching,50 George Square,Central
26940,"School of Literatures, Languages and Cultures",IMES08037_SV1_SEM2_2024/5,E:2NDS2EEA6S,Tutorial,50,15.0,Thursday 17:00,9,"27, 28, 29, 30, 32, 33, 34, 35, 36",0227_03_3.39,Centrally Allocated Space,General Teaching,50 George Square,Central
26941,"School of Literatures, Languages and Cultures","ELCC10018_SS1_YR_2024/5, ELCR09006_SV1_YR_2024/5",E:EH4ZJJ6O2F,Tutorial,50,12.0,Friday 12:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_02_2.03,Centrally Allocated Space,General Teaching,50 George Square,Central
26942,"School of Literatures, Languages and Cultures",ELCF08005_SV1_YR_2024/5,E:2JP8OF1D77,Language Tutorial (S2),50,15.0,Tuesday 15:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0254_01_1.04,Centrally Allocated Space,General Teaching,24 Buccleuch Place,Central
26943,"School of Literatures, Languages and Cultures",ASST08078_SV1_YR_2024/5,E:NXZI4XUM57,Oral Tutorial Set 1 (S2),50,12.0,Friday 10:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_03_3.39,Centrally Allocated Space,General Teaching,50 George Square,Central
26944,"School of Literatures, Languages and Cultures",CLLC11184_SS1_SEM2_2024/5,E:4W6VYUFFEA,Seminar,120,20.0,Tuesday 10:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0214_01_1.01,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26946,"School of Literatures, Languages and Cultures",ENLI11181_SS1_SEM1_2024/5,E:YPZ5DSDN9W,Seminar,110,15.0,Thursday 13:00,11,"9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0228_11_11.18,Centrally Allocated Space,General Teaching,40 George Square,Central
26947,"School of Literatures, Languages and Cultures",CLLC11065_SS1_SEM1_2024/5,E:L3GE8QI42U,Tutorial,50,12.0,Friday 15:00,10,"10, 11, 12, 13, 15, 16, 17, 18, 19, 21",0227_03_3.39,Centrally Allocated Space,General Teaching,50 George Square,Central
26948,"School of Literatures, Languages and Cultures",ASST08078_SV1_YR_2024/5,E:7Y3EYI1ALD,Oral Tutorial Set 1 (S2),50,12.0,Friday 11:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_03_3.03,Centrally Allocated Space,General Teaching,50 George Square,Central
26949,"School of Literatures, Languages and Cultures",ENLI11026_SS1_SEM1_2024/5,E:ZLJQPK2ISS,Seminar,110,17.0,Thursday 11:00,10,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19",0227_02_2.03,Centrally Allocated Space,General Teaching,50 George Square,Central
26950,"School of Literatures, Languages and Cultures",ELCF08013_SV1_YR_2024/5,E:SZ3QBKHJ9B,Oral Tutorial,50,12.0,Friday 10:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_03_3.54,Centrally Allocated Space,General Teaching,50 George Square,Central
26951,"School of Literatures, Languages and Cultures",ELCC10013_SS1_YR_2024/5,E:VP7L5HXLWA,Tutorial,50,12.0,Wednesday 14:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0214_01_1.01,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26952,"School of Literatures, Languages and Cultures",ASST08076_SV1_YR_2024/5,E:SGSP3NY5W4,NPCR 1 Tutorial (S2),50,20.0,Monday 15:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0103_01_1.B10,Centrally Allocated Space,General Teaching,Forresthill,Central
26954,"School of Literatures, Languages and Cultures",ELCI10018_SV1_YR_2024/5,E:WVC986GP3T,Seminar,50,15.0,Tuesday 11:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_03_3.03,Centrally Allocated Space,General Teaching,50 George Square,Central
26955,"School of Literatures, Languages and Cultures",ASST10094_SV1_YR_2024/5,E:JV3RN4LPB8,Translation Tutorial (S2),50,24.0,Wednesday 16:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_00_G.01,Centrally Allocated Space,General Teaching,50 George Square,Central
26956,"School of Literatures, Languages and Cultures",SCET10033_SV1_SEM2_2024/5,E:OYJAE5CX2X,Seminar,110,18.0,Monday 09:00,5,"26, 27, 28, 29, 30",0227_03_3.54,Centrally Allocated Space,General Teaching,50 George Square,Central
26958,"School of Literatures, Languages and Cultures",ELCH10027_SS1_YR_2024/5,E:GPVKNLGU48,Tutorial,50,16.0,Tuesday 14:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0228_07_7.18,Centrally Allocated Space,General Teaching,40 George Square,Central
26959,"School of Literatures, Languages and Cultures",ASST10094_SV1_YR_2024/5,E:IQ3U5GPWYY,Translation Tutorial,50,24.0,Wednesday 14:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_00_G.06,Centrally Allocated Space,General Teaching,50 George Square,Central
26961,"School of Literatures, Languages and Cultures",ENLI08023_SV1_SEM2_2024/5,E:M7ABMFHNQ7,Tutorial,50,15.0,Wednesday 12:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_03_3.29,Centrally Allocated Space,General Teaching,50 George Square,Central
26962,"School of Literatures, Languages and Cultures",IMES08036_SV1_SEM1_2024/5,E:ONRY5FYMOM,Tutorial,50,15.0,Friday 10:00,9,"10, 11, 12, 13, 15, 16, 17, 18, 19",0254_01_1.08,Centrally Allocated Space,General Teaching,24 Buccleuch Place,Central
26963,"School of Literatures, Languages and Cultures","IMES08026_SV1_SEM1_2024/5, IMES11103_SV1_SEM1_2024/5",E:41QA7XOFCC,Seminar set 1,50,25.0,Wednesday 12:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_00_G.01,Centrally Allocated Space,General Teaching,50 George Square,Central
26964,"School of Literatures, Languages and Cultures",ELCH08001_SS1_YR_2024/5,E:E8NEGKLRYB,Oral Tutorial,50,11.0,Tuesday 10:00,6,"26, 27, 28, 29, 30, 32",0214_00_G.26,Centrally Allocated Space,General Teaching,16-20 George Square,Central
26965,"School of Literatures, Languages and Cultures",ASST08043_SV1_SEM2_2024/5,E:QGYH2ZUS7I,Tutorial,50,16.0,Wednesday 13:00,10,"27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_03_3.54,Centrally Allocated Space,General Teaching,50 George Square,Central
26966,"School of Literatures, Languages and Cultures","IMES11104_SV1_SEM2_2024/5, IMES08027_SV1_SEM2_2024/5",E:2LKQX98SOD,Jointly Taught Seminar,50,25.0,Tuesday 14:00,11,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37",0227_00_G.01,Centrally Allocated Space,General Teaching,50 George Square,Central
