Session_ID,Event_ID,Event_Size,Original_Time,Assigned_Time,Assigned_Room,Assigned_Campus,Assigned_Capacity,Penalty,Status
E:2KX6HZAXTD_W17,E:2KX6HZAXTD,25.0,Monday 11:00,Monday 11:00,0112_-1_B.06,Central,25,0.0,Scheduled
E:2KX6HZAXTD_W18,E:2KX6HZAXTD,25.0,Monday 11:00,Monday 11:00,0113_01_1.434,Central,28,3.0,Scheduled
E:4OMC9DUHY8_W10,E:4OMC9DUHY8,25.0,Tuesday 09:00,Tuesday 09:00,0228_09_9.18,Central,25,0.0,Scheduled
E:4OMC9DUHY8_W11,E:4OMC9DUHY8,25.0,Tuesday 09:00,Tuesday 09:00,0113_00_G.15,Central,29,4.0,Scheduled
E:4OMC9DUHY8_W12,E:4OMC9DUHY8,25.0,Tuesday 09:00,Tuesday 09:00,0251_01_1.01,Central,28,3.0,Scheduled
E:4OMC9DUHY8_W13,E:4OMC9DUHY8,25.0,Tuesday 09:00,Tuesday 09:00,0335_00_G.09,Central,32,7.0,Scheduled
E:4OMC9DUHY8_W14,E:4OMC9DUHY8,25.0,Tuesday 09:00,Tuesday 09:00,0228_09_9.18,Central,25,0.0,Scheduled
E:4OMC9DUHY8_W16,E:4OMC9DUHY8,25.0,Tuesday 09:00,Tuesday 09:00,0251_01_1.01,Central,28,3.0,Scheduled
E:4OMC9DUHY8_W17,E:4OMC9DUHY8,25.0,Tuesday 09:00,Tuesday 09:00,0113_00_G.15,Central,29,4.0,Scheduled
E:4OMC9DUHY8_W18,E:4OMC9DUHY8,25.0,Tuesday 09:00,Tuesday 09:00,0001_00_G.158,Central,30,5.0,Scheduled
E:U1QKW4FSHH_W11,E:U1QKW4FSHH,25.0,Thursday 14:00,Monday 09:00,0201_01_1.08,Central,307,1282.0,Scheduled
E:U1QKW4FSHH_W13,E:U1QKW4FSHH,25.0,Thursday 14:00,Thursday 14:00,0226_-1_LG.11,Central,66,41.0,Scheduled
E:U1QKW4FSHH_W14,E:U1QKW4FSHH,25.0,Thursday 14:00,Thursday 14:00,0283_01_1.17,Central,26,1.0,Scheduled
E:U1QKW4FSHH_W15,E:U1QKW4FSHH,25.0,Thursday 14:00,Thursday 14:00,0228_11_11.10,Central,36,11.0,Scheduled
E:U1QKW4FSHH_W17,E:U1QKW4FSHH,25.0,Thursday 14:00,Thursday 14:00,0226_-1_LG.19,Central,70,45.0,Scheduled
E:U1QKW4FSHH_W18,E:U1QKW4FSHH,25.0,Thursday 14:00,Thursday 14:00,0209_02_2.37,Central,30,5.0,Scheduled
E:RTJGXFPU57_W19,E:RTJGXFPU57,25.0,Tuesday 09:00,Tuesday 09:00,0335_04_4.3,Central,60,35.0,Scheduled
E:FNL8HIE9X2-00002_W19,E:FNL8HIE9X2-00002,25.0,Monday 09:00,Monday 09:00,0335_03_3.1,Central,25,0.0,Scheduled
E:CFFMFVEGSN_W34,E:CFFMFVEGSN,25.0,Tuesday 12:00,Tuesday 12:00,0110_02_2.01,Central,25,0.0,Scheduled
E:OXSL1Q9JE2_W26,E:OXSL1Q9JE2,25.0,Tuesday 13:00,Tuesday 13:00,0251_01_1.02,Central,28,3.0,Scheduled
E:OXSL1Q9JE2_W27,E:OXSL1Q9JE2,25.0,Tuesday 13:00,Tuesday 13:00,0201_01_1.08,Central,307,282.0,Scheduled
E:OMAYLRTMYP-00001_W11,E:OMAYLRTMYP-00001,25.0,Tuesday 09:00,Monday 11:00,0226_-1_LG.14,Central,68,1043.0,Scheduled
E:OMAYLRTMYP-00001_W12,E:OMAYLRTMYP-00001,25.0,Tuesday 09:00,Monday 09:00,0226_-1_LG.10,Central,72,1047.0,Scheduled
E:OMAYLRTMYP-00001_W13,E:OMAYLRTMYP-00001,25.0,Tuesday 09:00,Tuesday 09:00,0201_01_1.06,Central,300,275.0,Scheduled
E:OMAYLRTMYP-00001_W14,E:OMAYLRTMYP-00001,25.0,Tuesday 09:00,Tuesday 09:00,0001_00_G.158,Central,30,5.0,Scheduled
E:OMAYLRTMYP-00001_W15,E:OMAYLRTMYP-00001,25.0,Tuesday 09:00,Monday 09:00,0335_01_1.9,Central,32,1007.0,Scheduled
E:OMAYLRTMYP-00001_W16,E:OMAYLRTMYP-00001,25.0,Tuesday 09:00,Tuesday 09:00,0201_00_G.07,Central,194,169.0,Scheduled
E:68Z3RMZ8FC_W9,E:68Z3RMZ8FC,25.0,Thursday 11:00,Thursday 11:00,0335_03_3.1,Central,25,0.0,Scheduled
E:68Z3RMZ8FC_W10,E:68Z3RMZ8FC,25.0,Thursday 11:00,Monday 09:00,0112_-1_B.06,Central,25,1000.0,Scheduled
E:IOKM8Z8Q1B_W16,E:IOKM8Z8Q1B,25.0,Thursday 09:00,Thursday 09:00,0001_01_1.267,Central,26,1.0,Scheduled
E:IOKM8Z8Q1B_W17,E:IOKM8Z8Q1B,25.0,Thursday 09:00,Thursday 09:00,0251_01_1.02,Central,28,3.0,Scheduled
E:IOKM8Z8Q1B_W18,E:IOKM8Z8Q1B,25.0,Thursday 09:00,Thursday 09:00,0228_09_9.18,Central,25,0.0,Scheduled
E:CFFMFVEGSN_W29,E:CFFMFVEGSN,25.0,Tuesday 12:00,Tuesday 12:00,0335_02_2.1,Central,25,0.0,Scheduled
E:CFFMFVEGSN_W30,E:CFFMFVEGSN,25.0,Tuesday 12:00,Tuesday 12:00,0335_02_2.1,Central,25,0.0,Scheduled
E:56QQNKPQ73_W11,E:56QQNKPQ73,25.0,Tuesday 12:00,Tuesday 12:00,0228_-1_LG.10,Central,36,11.0,Scheduled
E:E5DND3UDZ6_W32,E:E5DND3UDZ6,25.0,Thursday 11:00,Thursday 11:00,0226_-1_LG.18,Central,66,41.0,Scheduled
E:JT4U1I87Z1-00040_W32,E:JT4U1I87Z1-00040,25.0,Monday 10:00,Monday 10:00,0335_03_3.1,Central,25,0.0,Scheduled
E:ZKLDBY4OPO-00001-00001_W32,E:ZKLDBY4OPO-00001-00001,25.0,Monday 14:00,Monday 14:00,0228_09_9.18,Central,25,0.0,Scheduled
E:XY71EN7J2M-00001-00001_W32,E:XY71EN7J2M-00001-00001,25.0,Monday 14:00,Monday 14:00,0335_01_1.2,Central,44,19.0,Scheduled
E:L95ZT5KUSK_W12,E:L95ZT5KUSK,25.0,Thursday 09:00,Thursday 09:00,0251_01_1.02,Central,28,3.0,Scheduled
E:L95ZT5KUSK_W13,E:L95ZT5KUSK,25.0,Thursday 09:00,Thursday 09:00,0251_01_1.02,Central,28,3.0,Scheduled
E:L95ZT5KUSK_W14,E:L95ZT5KUSK,25.0,Thursday 09:00,Thursday 09:00,0283_01_1.17,Central,26,1.0,Scheduled
E:L95ZT5KUSK_W15,E:L95ZT5KUSK,25.0,Thursday 09:00,Thursday 09:00,0112_-1_B.06,Central,25,0.0,Scheduled
E:L95ZT5KUSK_W17,E:L95ZT5KUSK,25.0,Thursday 09:00,Thursday 09:00,0201_02_2.11,Central,28,3.0,Scheduled
E:L95ZT5KUSK_W18,E:L95ZT5KUSK,25.0,Thursday 09:00,Thursday 09:00,0001_01_1.267,Central,26,1.0,Scheduled
E:56QQNKPQ73_W12,E:56QQNKPQ73,25.0,Tuesday 12:00,Tuesday 12:00,0228_-1_LG.10,Central,36,11.0,Scheduled
E:56QQNKPQ73_W13,E:56QQNKPQ73,25.0,Tuesday 12:00,Tuesday 12:00,0228_11_11.10,Central,36,11.0,Scheduled
E:56QQNKPQ73_W14,E:56QQNKPQ73,25.0,Tuesday 12:00,Tuesday 12:00,0001_01_1.267,Central,26,1.0,Scheduled
E:56QQNKPQ73_W16,E:56QQNKPQ73,25.0,Tuesday 12:00,Tuesday 12:00,0201_02_2.11,Central,28,3.0,Scheduled
E:56QQNKPQ73_W17,E:56QQNKPQ73,25.0,Tuesday 12:00,Tuesday 12:00,0228_-1_LG.10,Central,36,11.0,Scheduled
E:56QQNKPQ73_W18,E:56QQNKPQ73,25.0,Tuesday 12:00,Tuesday 12:00,0313_00_G.10,Central,36,11.0,Scheduled
E:QBB3LQZ3KJ_W10,E:QBB3LQZ3KJ,25.0,Tuesday 10:00,Monday 09:00,0283_01_1.17,Central,26,1001.0,Scheduled
E:QBB3LQZ3KJ_W13,E:QBB3LQZ3KJ,25.0,Tuesday 10:00,Tuesday 10:00,0201_01_1.08,Central,307,282.0,Scheduled
E:QBB3LQZ3KJ_W15,E:QBB3LQZ3KJ,25.0,Tuesday 10:00,Monday 09:00,0110_02_2.01,Central,25,1000.0,Scheduled
