scenario,event_id,event_name,module_id,day,start_min,end_min,original_day,assigned_day,original_start_min,original_end_min,assigned_start_min,assigned_end_min,day_shift_steps,shift_minutes,is_time_shifted,is_day_shifted,is_shifted,event_size,weeks_count,assigned,assigned_room,assigned_campus,assigned_capacity,capacity_margin,unassigned_reason
central_plus_both_shift60,E:44ONFQWNX1,"Text, Discourse and Language Teaching - Workshop/01",EDUA11233_SV1_SEM2_2024/5,Thursday,570.0,690.0,Thursday,Thursday,600.0,720.0,570.0,690.0,0.0,-30.0,True,False,True,25.0,10,True,0201_02_2.11,Central,28.0,3.0,
central_plus_both_shift60,E:GOQAEXSE7O,TESOL Methodology - Workshop/01,EDUA11329_SS1_SEM1_2024/5,Thursday,540.0,660.0,Thursday,Thursday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,25.0,8,True,0283_01_1.17,Central,26.0,1.0,
central_plus_both_shift60,E:JYYDCC6KON,TESOL Methodology - Workshop/05,EDUA11329_SS1_SEM1_2024/5,Thursday,540.0,660.0,Thursday,Thursday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,25.0,8,True,0251_01_1.02,Central,28.0,3.0,
central_plus_both_shift60,E:GXWAVR7P6Y,Health and Wellbeing 1 - Course Seminar Group/01,EDUA08117_SV1_SEM1_2024/5,Friday,540.0,660.0,Friday,Friday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,25.0,9,True,0112_-1_B.06,Central,25.0,0.0,
central_plus_both_shift60,E:I8DB3LTLZC,Health and Wellbeing 1 - Course Seminar Group/04,EDUA08117_SV1_SEM1_2024/5,Friday,540.0,660.0,Friday,Friday,600.0,720.0,540.0,660.0,0.0,-60.0,True,False,True,25.0,7,True,0313_00_G.10,Central,36.0,11.0,
central_plus_both_shift60,E:EYDSNTSLJF,Language and the Learner - (TESOL) Workshop/01,EDUA11248_SV1_SEM1_2024/5,Tuesday,480.0,590.0,Tuesday,Tuesday,540.0,650.0,480.0,590.0,0.0,-60.0,True,False,True,25.0,7,True,0110_02_2.01,Central,25.0,0.0,
central_plus_both_shift60,E:AC964SLJFZ,Critical Topics In Intercultural Communication Studies - Workshop/03,EDUA11440_SV1_SEM1_2024/5,Tuesday,480.0,590.0,Tuesday,Tuesday,540.0,650.0,480.0,590.0,0.0,-60.0,True,False,True,25.0,8,True,0228_09_9.18,Central,25.0,0.0,
central_plus_both_shift60,E:4OMC9DUHY8,Critical Topics In Intercultural Communication Studies - Workshop/01,EDUA11440_SV1_SEM1_2024/5,Tuesday,480.0,590.0,Tuesday,Tuesday,540.0,650.0,480.0,590.0,0.0,-60.0,True,False,True,25.0,8,True,0335_01_1.1,Central,25.0,0.0,
central_plus_both_shift60,E:K2DMM98FCH,Investigating Individual Learner Differences - Workshop/01,EDUA11282_SS1_SEM2_2024/5,Tuesday,540.0,650.0,Tuesday,Tuesday,600.0,710.0,540.0,650.0,0.0,-60.0,True,False,True,25.0,5,True,0335_01_1.1,Central,25.0,0.0,
central_plus_both_shift60,E:ICAYK9HDZR,Language and the Learner - (LE) Workshop/13,EDUA11248_SV1_SEM1_2024/5,Tuesday,720.0,830.0,Tuesday,Tuesday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,25.0,8,True,0228_-1_LG.10,Central,36.0,11.0,
central_plus_both_shift60,E:Z2D9TAC6OJ,Psychology Of Learning And Teaching - Lecture & Workshops/01,EDUA11354_SV1_SEM2_2024/5,Tuesday,600.0,710.0,Tuesday,Tuesday,660.0,770.0,600.0,710.0,0.0,-60.0,True,False,True,25.0,4,True,0226_-1_LG.18,Central,66.0,41.0,
central_plus_both_shift60,E:7VZ33G8W4U,Investigating Individual Learner Differences - Workshop/04,EDUA11282_SS1_SEM2_2024/5,Tuesday,780.0,890.0,Tuesday,Tuesday,720.0,830.0,780.0,890.0,0.0,60.0,True,False,True,25.0,10,True,0423_R_R.02B,Lauriston,27.0,2.0,
central_plus_both_shift60,E:6MWOXEYKJ3,Language and the Learner - (TESOL) Workshop/05,EDUA11248_SV1_SEM1_2024/5,Tuesday,720.0,830.0,Tuesday,Tuesday,780.0,890.0,720.0,830.0,0.0,-60.0,True,False,True,25.0,9,True,0201_01_1.06,Central,300.0,275.0,
central_plus_both_shift60,E:KOPUSXNC6F,Educational Studies 3: Teaching for Social Justice - Workshop/A,EDUA10193_SS1_SEM2_2024/5,Tuesday,900.0,1010.0,Tuesday,Tuesday,840.0,950.0,900.0,1010.0,0.0,60.0,True,False,True,25.0,5,True,0201_00_G.06,Central,193.0,168.0,
central_plus_both_shift60,E:IKEX5U443C,Educational Studies 3: Teaching for Social Justice - Workshop/B,EDUA10193_SS1_SEM2_2024/5,Tuesday,900.0,1010.0,Tuesday,Tuesday,840.0,950.0,900.0,1010.0,0.0,60.0,True,False,True,25.0,5,True,0229_01_1.B,Central,250.0,225.0,
central_plus_both_shift60,E:GI2JRC15IT,Qualitative Data Research - Workshop/01,REDU11028_SV1_SEM2_2024/5,Tuesday,900.0,1010.0,Tuesday,Tuesday,840.0,950.0,900.0,1010.0,0.0,60.0,True,False,True,25.0,3,True,0226_-1_LG.10,Central,72.0,47.0,
central_plus_both_shift60,E:G973PDIYAK,Qualitative Data Research - Workshop/01,REDU11028_SV1_SEM2_2024/5,Tuesday,900.0,1010.0,Tuesday,Tuesday,840.0,950.0,900.0,1010.0,0.0,60.0,True,False,True,25.0,5,True,0401_01_AssemblyHall,New College,320.0,295.0,
central_plus_both_shift60,E:1MEYMKQ67T,Language Awareness for Second Language Teachers - Workshop/01	,EDUA11283_SS1_SEM2_2024/5,Tuesday,900.0,1010.0,Tuesday,Tuesday,840.0,950.0,900.0,1010.0,0.0,60.0,True,False,True,25.0,8,True,0201_01_1.06,Central,300.0,275.0,
central_plus_both_shift60,E:CJJPH4U99N,Language and the Learner - (TESOL) Workshop/06,EDUA11248_SV1_SEM1_2024/5,Tuesday,960.0,1070.0,Tuesday,Tuesday,900.0,1010.0,960.0,1070.0,0.0,60.0,True,False,True,25.0,9,True,0335_03_3.1,Central,25.0,0.0,
central_plus_both_shift60,E:6Y47USWRUF,Language and Intercultural Communication Pedagogy - Workshop/01,EDUA11413_SS1_SEM1_2024/5,Wednesday,480.0,590.0,Wednesday,Wednesday,540.0,650.0,480.0,590.0,0.0,-60.0,True,False,True,25.0,8,True,0112_-1_B.06,Central,25.0,0.0,
central_plus_both_shift60,E:3FCXPSNVZQ,Investigating Individual Learner Differences - Workshop/06,EDUA11282_SS1_SEM2_2024/5,Wednesday,480.0,590.0,Wednesday,Wednesday,540.0,650.0,480.0,590.0,0.0,-60.0,True,False,True,25.0,10,True,0423_R_R.02B,Lauriston,27.0,2.0,
central_plus_both_shift60,E:LAJYAOFS8K,Professional Practice - Workshop/01	,EDUA11048_SV1_SEM1_2024/5,Wednesday,480.0,590.0,Wednesday,Wednesday,540.0,650.0,480.0,590.0,0.0,-60.0,True,False,True,25.0,9,True,0335_03_3.1,Central,25.0,0.0,
central_plus_both_shift60,E:NO68OJR8EW,Investigating Individual Learner Differences - Workshop/05,EDUA11282_SS1_SEM2_2024/5,Wednesday,480.0,590.0,Wednesday,Wednesday,540.0,650.0,480.0,590.0,0.0,-60.0,True,False,True,25.0,10,True,0335_04_4.1,Central,30.0,5.0,
central_plus_both_shift60,E:NSC5F7NYL3,Language and the Learner - (LE) Workshop/14,EDUA11248_SV1_SEM1_2024/5,Wednesday,480.0,590.0,Wednesday,Wednesday,540.0,650.0,480.0,590.0,0.0,-60.0,True,False,True,25.0,8,True,0201_02_2.11,Central,28.0,3.0,
central_plus_both_shift60,E:JP4EK67PA1,"Languages, Society And Education - Workshop/03	",EDUA11419_SV1_SEM1_2024/5,Wednesday,720.0,830.0,Wednesday,Wednesday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,25.0,8,True,0401_01M_01M.19,New College,38.0,13.0,
central_plus_both_shift60,E:P3YRUFD7EW,Language and Intercultural Communication Pedagogy - Workshop/05,EDUA11413_SS1_SEM1_2024/5,Thursday,510.0,620.0,Thursday,Thursday,540.0,650.0,510.0,620.0,0.0,-30.0,True,False,True,25.0,7,True,0201_00_G.06,Central,193.0,168.0,
central_plus_both_shift60,E:IOKM8Z8Q1B,Professional Practice - Workshop/03	,EDUA11048_SV1_SEM1_2024/5,Thursday,480.0,590.0,Thursday,Thursday,540.0,650.0,480.0,590.0,0.0,-60.0,True,False,True,25.0,9,True,0335_03_3.1,Central,25.0,0.0,
central_plus_both_shift60,E:EAO213UP6H,"Languages, Society And Education - Workshop/05",EDUA11419_SV1_SEM1_2024/5,Thursday,720.0,830.0,Thursday,Thursday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,25.0,8,True,0110_02_2.01,Central,25.0,0.0,
central_plus_both_shift60,E:C74Y48CVX2,Language and Intercultural Communication Pedagogy - Workshop/04,EDUA11413_SS1_SEM1_2024/5,Thursday,720.0,830.0,Thursday,Thursday,660.0,770.0,720.0,830.0,0.0,60.0,True,False,True,25.0,8,True,0201_01_1.06,Central,300.0,275.0,
