scenario,day,start_min,end_min,unassigned_events
central_plus_both,Wednesday,660.0,770.0,11
central_plus_both,Tuesday,600.0,690.0,10
central_plus_both,Wednesday,600.0,720.0,10
central_plus_both,Tuesday,660.0,770.0,9
central_plus_both,Thursday,780.0,860.0,8
central_plus_both,Thursday,780.0,890.0,8
central_plus_both,Thursday,840.0,890.0,8
central_plus_both,Tuesday,660.0,750.0,8
central_plus_both,Thursday,600.0,720.0,7
central_plus_both,Wednesday,540.0,650.0,7
central_plus_both,Thursday,600.0,780.0,6
central_plus_both,Tuesday,600.0,720.0,6
central_plus_both,Tuesday,780.0,860.0,6
central_plus_both,Wednesday,630.0,750.0,6
central_plus_both,Wednesday,660.0,710.0,6
central_plus_both,Wednesday,660.0,740.0,6
central_plus_both,Monday,600.0,690.0,5
central_plus_both,Monday,840.0,920.0,5
central_plus_both,Thursday,660.0,750.0,5
central_plus_both,Tuesday,540.0,780.0,5
central_plus_both,Tuesday,540.0,1080.0,5
central_plus_both,Tuesday,660.0,710.0,5
central_plus_both,Tuesday,870.0,960.0,5
central_plus_both,Wednesday,660.0,750.0,5
central_plus_both,Monday,840.0,950.0,4
central_plus_both,Thursday,600.0,650.0,4
central_plus_both,Thursday,600.0,690.0,4
central_plus_both,Thursday,660.0,710.0,4
central_plus_both,Thursday,690.0,750.0,4
central_plus_both,Wednesday,540.0,640.0,4
central_plus_both,Monday,870.0,960.0,3
central_plus_both,Thursday,660.0,740.0,3
central_plus_both,Thursday,840.0,930.0,3
central_plus_both,Tuesday,540.0,640.0,3
central_plus_both,Tuesday,600.0,750.0,3
central_plus_both,Tuesday,600.0,780.0,3
central_plus_both,Wednesday,540.0,620.0,3
central_plus_both,Friday,600.0,720.0,2
central_plus_both,Thursday,540.0,620.0,2
central_plus_both,Thursday,600.0,680.0,2
central_plus_both,Thursday,600.0,750.0,2
central_plus_both,Thursday,690.0,780.0,2
central_plus_both,Thursday,900.0,980.0,2
central_plus_both,Tuesday,540.0,650.0,2
central_plus_both,Tuesday,600.0,710.0,2
central_plus_both,Tuesday,600.0,1200.0,2
central_plus_both,Tuesday,660.0,740.0,2
central_plus_both,Tuesday,840.0,890.0,2
central_plus_both,Tuesday,840.0,930.0,2
central_plus_both,Tuesday,840.0,980.0,2
central_plus_both,Wednesday,600.0,780.0,2
central_plus_both,Friday,540.0,640.0,1
central_plus_both,Monday,600.0,720.0,1
central_plus_both,Monday,660.0,740.0,1
central_plus_both,Monday,660.0,770.0,1
central_plus_both,Monday,840.0,890.0,1
central_plus_both,Thursday,540.0,630.0,1
central_plus_both,Thursday,540.0,650.0,1
central_plus_both,Thursday,540.0,710.0,1
central_plus_both,Thursday,540.0,720.0,1
central_plus_both,Thursday,690.0,770.0,1
central_plus_both,Thursday,780.0,870.0,1
central_plus_both,Thursday,840.0,940.0,1
central_plus_both,Tuesday,540.0,720.0,1
central_plus_both,Tuesday,660.0,830.0,1
central_plus_both,Tuesday,690.0,780.0,1
central_plus_both,Tuesday,780.0,890.0,1
central_plus_both,Tuesday,810.0,960.0,1
central_plus_both,Tuesday,840.0,1010.0,1
central_plus_both,Tuesday,900.0,950.0,1
central_plus_both,Wednesday,540.0,720.0,1
central_plus_both,Wednesday,600.0,650.0,1
central_plus_both_shift120,Tuesday,780.0,860.0,10
central_plus_both_shift120,Thursday,660.0,770.0,5
central_plus_both_shift120,Thursday,780.0,860.0,5
central_plus_both_shift120,Tuesday,540.0,1080.0,5
central_plus_both_shift120,Tuesday,540.0,780.0,3
central_plus_both_shift120,Thursday,660.0,740.0,2
central_plus_both_shift120,Thursday,690.0,780.0,2
central_plus_both_shift120,Tuesday,600.0,1200.0,2
central_plus_both_shift120,Wednesday,630.0,750.0,2
central_plus_both_shift120,Thursday,540.0,710.0,1
central_plus_both_shift120,Thursday,660.0,750.0,1
central_plus_both_shift120,Tuesday,660.0,740.0,1
central_plus_both_shift120,Tuesday,660.0,830.0,1
central_plus_both_shift60,Tuesday,840.0,950.0,10
central_plus_both_shift60,Tuesday,780.0,860.0,9
central_plus_both_shift60,Tuesday,540.0,1080.0,6
central_plus_both_shift60,Wednesday,630.0,750.0,6
central_plus_both_shift60,Thursday,660.0,770.0,5
central_plus_both_shift60,Thursday,780.0,860.0,5
central_plus_both_shift60,Thursday,780.0,890.0,5
central_plus_both_shift60,Tuesday,870.0,960.0,5
central_plus_both_shift60,Tuesday,540.0,780.0,4
central_plus_both_shift60,Monday,840.0,920.0,3
central_plus_both_shift60,Thursday,660.0,750.0,3
central_plus_both_shift60,Tuesday,600.0,750.0,3
