scenario,day,campus_from,campus_to,conflict_count
central_plus_both_shift120_crossday,Monday,Lauriston,Central,653
central_plus_both_shift120_crossday,Monday,Central,Lauriston,597
central_plus_both_shift120_crossday,Friday,Lauriston,Central,480
central_plus_both_shift120_crossday,Friday,Central,Lauriston,435
central_plus_both_shift120_crossday,Wednesday,New College,Central,382
central_plus_both_shift120_crossday,Wednesday,Central,New College,311
central_plus_both_shift120_crossday,Monday,New College,King's Buildings,189
central_plus_both_shift120_crossday,Thursday,Central,Holyrood,173
central_plus_both_shift120_crossday,Thursday,King's Buildings,New College,136
central_plus_both_shift120_crossday,Tuesday,New College,King's Buildings,126
central_plus_both_shift120_crossday,Thursday,New College,King's Buildings,115
central_plus_both_shift120_crossday,Monday,King's Buildings,New College,94
central_plus_both_shift120_crossday,Thursday,Holyrood,Central,94
central_plus_both_shift120_crossday,Thursday,New College,Lauriston,83
central_plus_both_shift120_crossday,Tuesday,Lauriston,New College,83
central_plus_both_shift120_crossday,Tuesday,New College,Lauriston,77
central_plus_both_shift120_crossday,Thursday,King's Buildings,Lauriston,69
central_plus_both_shift120_crossday,Thursday,Lauriston,New College,68
central_plus_both_shift120_crossday,Tuesday,King's Buildings,New College,58
central_plus_both_shift120_crossday,Friday,New College,King's Buildings,53
central_plus_both_shift120_crossday,Monday,Central,Bioquarter,53
central_plus_both_shift120_crossday,Monday,Holyrood,Central,53
central_plus_both_shift120_crossday,Tuesday,Lauriston,King's Buildings,53
central_plus_both_shift120_crossday,Thursday,Lauriston,King's Buildings,52
central_plus_both_shift120_crossday,Tuesday,Holyrood,Central,51
central_plus_both_shift120_crossday,Tuesday,Central,Bioquarter,50
central_plus_both_shift120_crossday,Tuesday,Central,Holyrood,46
central_plus_both_shift120_crossday,Friday,Bioquarter,Central,45
central_plus_both_shift120_crossday,Friday,King's Buildings,New College,44
central_plus_both_shift120_crossday,Monday,Bioquarter,Central,44
central_plus_both_shift120_crossday,Wednesday,Central,Holyrood,43
central_plus_both_shift120_crossday,Wednesday,New College,King's Buildings,43
central_plus_both_shift120_crossday,Tuesday,King's Buildings,Lauriston,41
central_plus_both_shift120_crossday,Tuesday,Bioquarter,Central,38
central_plus_both_shift120_crossday,Thursday,Bioquarter,Central,37
central_plus_both_shift120_crossday,Friday,New College,Lauriston,35
central_plus_both_shift120_crossday,Wednesday,King's Buildings,Lauriston,35
central_plus_both_shift120_crossday,Monday,New College,Lauriston,33
central_plus_both_shift120_crossday,Thursday,Central,Bioquarter,32
central_plus_both_shift120_crossday,Wednesday,Holyrood,Central,32
central_plus_both_shift120_crossday,Wednesday,King's Buildings,New College,31
central_plus_both_shift120_crossday,Thursday,Bioquarter,King's Buildings,30
central_plus_both_shift120_crossday,Monday,Lauriston,New College,26
central_plus_both_shift120_crossday,Wednesday,Central,Bioquarter,26
central_plus_both_shift120_crossday,Friday,Central,Bioquarter,24
central_plus_both_shift120_crossday,Monday,Lauriston,King's Buildings,24
central_plus_both_shift120_crossday,Thursday,Lauriston,Holyrood,21
central_plus_both_shift120_crossday,Wednesday,Lauriston,King's Buildings,20
central_plus_both_shift120_crossday,Wednesday,New College,Lauriston,20
central_plus_both_shift120_crossday,Monday,Central,Holyrood,18
central_plus_both_shift120_crossday,Friday,Holyrood,Central,16
central_plus_both_shift120_crossday,Monday,King's Buildings,Lauriston,15
central_plus_both_shift120_crossday,Friday,King's Buildings,Lauriston,13
central_plus_both_shift120_crossday,Friday,Lauriston,King's Buildings,13
central_plus_both_shift120_crossday,Thursday,King's Buildings,Bioquarter,13
central_plus_both_shift120_crossday,Tuesday,Lauriston,Holyrood,12
central_plus_both_shift120_crossday,Wednesday,Bioquarter,Central,12
central_plus_both_shift120_crossday,Friday,Lauriston,New College,10
central_plus_both_shift120_crossday,Wednesday,Lauriston,New College,10
central_plus_both_shift120_crossday,Friday,Bioquarter,New College,9
central_plus_both_shift120_crossday,Thursday,Bioquarter,New College,9
central_plus_both_shift120_crossday,Wednesday,Lauriston,Holyrood,8
central_plus_both_shift120_crossday,Friday,Central,Holyrood,7
central_plus_both_shift120_crossday,Friday,King's Buildings,Holyrood,6
central_plus_both_shift120_crossday,Tuesday,New College,Holyrood,6
central_plus_both_shift120_crossday,Tuesday,Bioquarter,King's Buildings,5
central_plus_both_shift120_crossday,Wednesday,King's Buildings,Bioquarter,5
central_plus_both_shift120_crossday,Friday,Lauriston,Holyrood,2
